slug,title,film_sim,pc1,pc2
fujifilm-x100v-film-simulation-recipe-ilford-ortho-plus-80,Ilford Ortho Plus 80,Monochrome,1.7453037664821842,0.627092057094515
fujifilm-x-trans-iv-film-simulation-recipe-moody-monochrome,Moody Monochrome,Acros,-1.714795340666246,-1.0722092931093867
fujifilm-x100v-film-simulation-recipe-black-white-infrared,Black & White Infrared,Acros,1.5255239098404687,1.613754568633331
sepia-the-forgotten-film-simulation,Sepia,,-0.7817761490654737,0.15564322505693753
my-fujifilm-x-t30-kodachrome-64-film-simulation-recipe,Kodachrome 64,Classic Chrome,0.980179278885064,-0.9118232308773312
my-fujifilm-x-t30-kodak-gold-200-film-simulation-recipe,Kodak Gold 200,Classic Chrome,-0.5748411335957471,-1.089351860233562
my-fujifilm-x-t30-kodak-portra-400-film-simulation-recipe,Kodak Portra 400,Classic Chrome,-0.8215312821314771,-0.7520459066708508
fujifilm-x-t3-x-t30-film-simulation-recipe-kodak-portra-400-v2,Kodak Portra 400 v2,Classic Chrome,-0.8447943845024264,-0.6855402784120543
my-fujifilm-x-t30-kodak-portra-160-film-simulation-recipe,Kodak Porta 160,Classic Chrome,-0.28992165212701776,-1.3865363144777236
my-fujifilm-x-t30-kodak-vision3-250d-film-simulation-recipe,Kodak Vision3 250D,Eterna,0.9114667675386604,1.1648276517402198
my-fujifilm-x-t30-eterna-film-simulation-recipe,Eterna,Eterna,2.155862723024538,-0.4971768801942756
my-fujifilm-x-t30-expired-eterna-film-simulation-recipe,Expired Eterna,Eterna,1.4511985005674133,1.0774488207503619
my-fujifilm-x-t30-eterna-low-contrast-film-simulation-recipe,Eterna Low-Contrast,Eterna,-0.81038881751507,0.816399854630712
fujifilm-x-t30-film-simulation-recipe-eterna-v3,Eterna v3,Eterna,-0.20536657814545692,0.3392024476651107
fujifilm-x-t30-x-t3-film-simulation-recipe-cinematic-negative,Cinematic Negative,Eterna,-0.07282947766769984,-2.8736188349564538
my-fujifilm-x-t30-polaroid-film-simulation-recipe,Polaroid,Eterna,-0.32666793756069057,-0.1788099247491136
my-fujifilm-x-t30-polaroid-ii-film-simulation-recipe,Polaroid II,Eterna,0.30958278651576077,2.969839929015641
my-fujifilm-x-t30-analog-color-film-simulation-recipe,Analog Color,PRO Neg,1.0886867808755765,1.3564246643899673
my-fujifilm-x-t30-jeff-davenport-night-recipe,Jeff Davenport Night,PRO Neg,0.9817085741363955,-0.7054889183545862
my-fujifilm-x-t30-faded-color-film-simulation-recipe,Faded Color,Classic Chrome,2.0801489261514723,0.26247524424982605
my-fujifilm-x-t30-vintage-color-fade-film-simulation-recipe,Vintage Color Fade,PRO Neg,2.647324442789403,1.3466742062788657
my-fujifilm-x-t30-kodak-elite-chrome-200-color-fade-film-simulation-recipe,Elite Chrome Color Fade,Classic Chrome,-0.9022781008549726,6.015962109283859
fujifilm-x-t3-x-t30-x-h1-film-simulation-recipe-negative-print,Negative Print,Eterna,1.2954398360179114,-1.1576550169341198
