slug,title,film_sim,subcluster,subcluster_label
fujifilm-x-t30-x-t3-x-trans-iii-film-simulation-recipe-classic-kodak,Classic Kodak,Classic Chrome,2,Classic Chrome#2
my-fujifilm-x-t30-classic-slide-film-simulation-recipe,Classic Slide,Classic Chrome,2,Classic Chrome#2
not-my-fujifilm-x-urban-vintage-chrome-film-simulation-recipe,Urban Vintage Chrome,Classic Chrome,2,Classic Chrome#2
my-fujifilm-x-t30-fujicolor-100-industrial-film-simulation-recipe,Fujicolor 100 Industrial,PRO Neg,3,PRO Neg#3
my-fujifilm-x-t30-lomography-color-100-film-simulation-setting,Lomography Color 100,Velvia,-1,
my-fujifilm-x-t30-velvia-film-simulation-recipe,Velvia,Velvia,-1,
fujifilm-x-t30-x-trans-iv-film-simulation-recipe-velvia-v2,Velvia v2,Velvia,-1,
my-fujifilm-x-t30-redscale-film-simulation-recipe,Redscale,Astia,-1,
my-fujifilm-x-t30-cross-process-film-simulation-recipe,Cross Process,Classic Chrome,2,Classic Chrome#2
xpro-fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe,XPro,Classic Chrome,2,Classic Chrome#2
my-fujifilm-x-t30-acros-film-simulation-recipe-agfa-apx-400,Agfa APX 400,Acros,0,Acros#0
my-fujifilm-x-t30-monochrome-kodachrome-film-simulation-recipe,Monochrome Kodachrome,Acros,0,Acros#0
my-fujifilm-x-t30-ilford-hp5-plus-400-push-process-film-simulation-recipe,Ilford HP5 Push Process,Acros,0,Acros#0
not-my-fujifilm-x-t30-ilford-delta-push-process-film-simulation-recipe,Ilford Delta Push Process,Monochrome,-1,
my-fujifilm-x-t30-dramatic-monochrome-film-simulation-recipe,Dramatic Monochrome,Monochrome,-1,
my-fujifilm-x-t30-faded-monochrome-film-simulation-recipe,Faded Monochrome,Acros,0,Acros#0
my-fujifilm-x-t30-split-toned-bw-film-simulation-recipe,Split-Toned B&W,Acros,0,Acros#0
my-fujifilm-x-t30-cyanotype-film-simulation-recipe,Cyanotype,Acros,0,Acros#0
fujifilm-x100v-film-simulation-recipe-verano-tostado,Verano Tostado,Classic Chrome,1,Classic Chrome#1
