slug,title,film_sim,x,y
kodak-portra-do-sol-fujifilm-x-trans-iv-film-simulation-recipe,Kodak Portra do Sol,Classic Chrome,6.2500277,6.5459094
fujifilm-x-trans-iv-film-simulation-recipe-bright-kodak,Bright Kodak,Classic Chrome,6.3861547,7.8319263
fujifilm-x100v-film-simulation-recipe-preet,Bright Summer,Classic Chrome,6.365934,6.48524
expired-velvia-fujifilm-x-trans-iv-x-pro3-x100v-x-t4-x-s10-x-e4-x-t30-ii-film-simulation-recipe,Expired Velvia,Classic Negative,1.517968,-6.1768045
two-fujifilm-x-trans-iv-film-simulation-recipes-expired-slide-expired-slide-v2,Expired Slide &,Velvia,6.273225,0.5639453
redscale-fujifilm-x-trans-iv-v-film-simulation-recipe,RedScale,Classic Negative,1.135081,-6.1891313
fujifilm-x100v-x-trans-iv-film-simulation-recipe-xpro-62,Xpro ’62,Classic Negative,0.31330755,-6.77685
bewaremyvelvia-a-fujifilm-film-simulation-recipe-for-x-trans-iv-v,BewareMyVelvia,Velvia,6.2180357,0.4383128
my-fujifilm-x100v-cine-teal-film-simulation-recipe,Cine Teal,Eterna,-3.4038587,7.6270056
fujifilm-x100v-film-simulation-recipe-cinestill-800t,CineStill 800T,Eterna,-3.5285883,7.257389
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-pushed-cinestill-800t,Pushed CineStill 800T,Eterna Bleach Bypass,18.180283,-6.0918007
fujifilm-x100v-x-pro3-film-simulation-recipe-pushed-cinestill,Pushed CineStill 800T (X100V + X-Pro3),Eterna,-3.3069482,7.223088
fujifilm-x-trans-iv-film-simulation-recipe-serrs-500t,Serr’s 500T,Classic Chrome,7.158279,8.003421
kodak-plus-x-125-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe,Kodak Plus-X 125,Acros,15.82414,14.904514
fujifilm-x100v-film-simulation-recipe-kodak-tri-x-400,Kodak Tri-X 400,Acros,15.7907715,14.871091
kodak-t-max-p3200-a-fujifilm-film-simulation-recipe-for-x-trans-iv-v,Kodak T-Max P3200,Acros,15.954289,15.0351305
fujifilm-x100v-film-simulation-recipe-kodak-t-max-400,Kodak T-Max 400,Monochrome,9.715987,1.2184672
fujifilm-x100v-film-simulation-recipe-bw-superia,B&W Superia,Acros,15.596606,14.676507
fujifilm-x100v-film-simulation-recipe-classic-monochrome,Classic Monochrome,Monochrome,9.730959,1.2029014
fujifilm-x100v-x-trans-iii-x-trans-iv-film-simulation-recipe-monochrome-negative,Monochrome Negative,Acros,15.703592,14.7845955
kentmere-pan-400-fujifilm-x100v-x-trans-iv-v-film-simulation-recipe,Kentmere Pan 400,Acros,15.9256315,15.006268
fujifilm-x-trans-iv-film-simulation-recipe-ilford-hp5-plus-400,Ilford HP5 Plus 400,Monochrome,9.807182,1.1465728
fujifilm-x100v-film-simulation-recipe-ilford-pan-f-plus-50,Ilford Pan F Plus 50,Monochrome,9.743645,1.1909695
fujifilm-x100v-film-simulation-recipe-ilford-ortho-plus-80,Ilford Ortho Plus 80,Monochrome,9.646561,1.2904849
fujifilm-x-trans-iv-film-simulation-recipe-moody-monochrome,Moody Monochrome,Acros,15.824301,14.90488
fujifilm-x100v-film-simulation-recipe-black-white-infrared,Black & White Infrared,Acros,15.569563,14.650661
sepia-the-forgotten-film-simulation,Sepia,,6.652095,7.7405577
my-fujifilm-x-t30-kodachrome-64-film-simulation-recipe,Kodachrome 64,Classic Chrome,7.042878,6.178609
my-fujifilm-x-t30-kodak-gold-200-film-simulation-recipe,Kodak Gold 200,Classic Chrome,6.8969975,6.6044893
my-fujifilm-x-t30-kodak-portra-400-film-simulation-recipe,Kodak Portra 400,Classic Chrome,6.2872763,7.2570705
fujifilm-x-t3-x-t30-film-simulation-recipe-kodak-portra-400-v2,Kodak Portra 400 v2,Classic Chrome,6.138266,7.060418
my-fujifilm-x-t30-kodak-portra-160-film-simulation-recipe,Kodak Porta 160,Classic Chrome,6.4524183,6.775724
my-fujifilm-x-t30-kodak-vision3-250d-film-simulation-recipe,Kodak Vision3 250D,Eterna,-2.9813373,6.9826283
my-fujifilm-x-t30-eterna-film-simulation-recipe,Eterna,Eterna,-2.770217,7.0678434
my-fujifilm-x-t30-expired-eterna-film-simulation-recipe,Expired Eterna,Eterna,-2.7670298,6.9228735
my-fujifilm-x-t30-eterna-low-contrast-film-simulation-recipe,Eterna Low-Contrast,Eterna,-3.122905,7.048288
fujifilm-x-t30-film-simulation-recipe-eterna-v3,Eterna v3,Eterna,-3.2946756,7.123193
fujifilm-x-t30-x-t3-film-simulation-recipe-cinematic-negative,Cinematic Negative,Eterna,-2.852571,7.682782
my-fujifilm-x-t30-polaroid-film-simulation-recipe,Polaroid,Eterna,-2.6055477,7.4561844
my-fujifilm-x-t30-polaroid-ii-film-simulation-recipe,Polaroid II,Eterna,-2.941599,6.878264
my-fujifilm-x-t30-analog-color-film-simulation-recipe,Analog Color,PRO Neg,-11.43049,3.452463
my-fujifilm-x-t30-jeff-davenport-night-recipe,Jeff Davenport Night,PRO Neg,-11.532197,3.4084325
my-fujifilm-x-t30-faded-color-film-simulation-recipe,Faded Color,Classic Chrome,7.1665053,6.86871
my-fujifilm-x-t30-vintage-color-fade-film-simulation-recipe,Vintage Color Fade,PRO Neg,-11.461309,3.5204794
my-fujifilm-x-t30-kodak-elite-chrome-200-color-fade-film-simulation-recipe,Elite Chrome Color Fade,Classic Chrome,7.0416737,7.7354584
fujifilm-x-t3-x-t30-x-h1-film-simulation-recipe-negative-print,Negative Print,Eterna,-2.7705495,7.125907
my-fujifilm-x-t30-color-negative-film-simulation-recipe,Color Negative,PRO Neg,-11.621245,3.310722
pro-neg-fujifilm-x-t3-x-t30-x-trans-iii-film-simulation-recipe,Pro Neg,PRO Neg,-11.773738,3.1467304
my-fujifilm-x-t30-provia-film-simulation-recipe-fujichrome-sensia-100,Fujichrome Sensia 100,Provia,5.378698,3.0345805
a-different-approach-7-new-fujicolor-pro-160ns-film-simulation-recipes-yes-7,Fujicolor Pro 160NS,PRO Neg,-11.889512,3.0818403
7-new-fujicolor-pro-400h-film-simulation-recipes,Fujicolor Pro 400H,PRO Neg,-11.839998,3.165028
my-fujifilm-x-t30-fujicolor-pro-400h-overexposed-film-simulation-recipe,Fujicolor Pro 400H Overexposed,Provia,5.3677673,3.0254867
